na_init,ma_init,ca_init,pa_init,qa_init
0.082755085,0,0,0,0
0,0.166,0,0,0
0,0,2.1,0,0
0.082755085,0.166,0,0,0
0.082755085,0,2.1,0,0
0,0.166,2.1,0,0
0.082755085,0,0,0.005,0
0.082755085,0,0,0.005,1
0,0.166,0,0.005,0
0,0.166,0,0.005,1
0,0,2.1,0.005,0
0,0,2.1,0.005,1
0.082755085,0.166,0,0.005,0
0,0.166,2.1,0.005,0
0.082755085,0,2.1,0.005,0
0.082755085,0.166,2.1,0,0
0.082755085,0.166,2.1,0.005,0
0.082755085,0.166,2.1,0,1
0.082755085,0,2.1,0.005,1
0.082755085,0.166,0,0.005,1
0.082755085,0.166,2.1,0.005,1
